timestamp,model,pages,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-06-13T16:12:28,gemini-3.5-flash,1,45126,8620,0.067689,0.077580,0.145269
2026-06-13T16:14:31,gemini-3.5-flash,1,42720,4860,0.064080,0.043740,0.107820
2026-06-13T16:16:23,gemini-3.5-flash,1,45368,8617,0.068052,0.077553,0.145605
2026-06-13T16:18:32,gemini-3.5-flash,1,43072,6816,0.064608,0.061344,0.125952
2026-06-13T16:44:22,gemini-3.5-flash,4,169306,24051,0.253959,0.216459,0.470418
2026-06-13T16:48:45,gemini-3.5-flash,8,364073,44523,0.546110,0.400707,0.946816
2026-06-13T16:50:00,gemini-3.5-flash,1,39242,4355,0.058863,0.039195,0.098058
2026-06-13T16:51:21,gemini-3.5-flash,3,147732,12242,0.221598,0.110178,0.331776
2026-06-13T16:52:30,gemini-3.5-flash,1,42538,4813,0.063807,0.043317,0.107124
2026-06-13T16:55:36,gemini-3.5-flash,1,42896,3742,0.064344,0.033678,0.098022
2026-06-13T16:58:47,gemini-3.5-flash,4,172016,30393,0.258024,0.273537,0.531561
2026-06-13T17:02:27,gemini-3.5-flash,8,369119,60745,0.553678,0.546705,1.100383
2026-06-13T17:04:05,gemini-3.5-flash,1,45885,7007,0.068827,0.063063,0.131891
2026-06-13T17:05:54,gemini-3.5-flash,3,149484,17583,0.224226,0.158247,0.382473
2026-06-13T17:07:30,gemini-3.5-flash,1,49130,6069,0.073695,0.054621,0.128316
2026-06-14T10:52:32,gemini-3.5-flash,2,117191,9864,0.175787,0.088776,0.264563
2026-06-14T10:53:41,gemini-3.5-flash,3,179206,10794,0.268809,0.097146,0.365955
2026-06-14T14:25:32,gemini-3.5-flash,1,54366,5062,0.081549,0.045558,0.127107
