timestamp,page,full_page_calls,poly_calls,total_calls,cost_usd
2026-06-20T04:50:49,Appendix_2/1_source_pages/page_016,1,31,32,0.0480
2026-06-20T04:50:50,Appendix_2/1_source_pages/page_027,1,8,9,0.0135
2026-06-20T04:50:51,Appendix_2/1_source_pages/page_026,1,9,10,0.0150
2026-06-20T04:50:55,Appendix_2/1_source_pages/page_021,1,19,20,0.0300
2026-06-20T04:50:56,Appendix_2/1_source_pages/page_020,1,19,20,0.0300
2026-06-20T04:50:57,Appendix_2/1_source_pages/page_025,1,13,14,0.0210
2026-06-20T04:51:04,Appendix_2/1_source_pages/page_028,1,11,12,0.0180
2026-06-20T04:51:04,Appendix_2/1_source_pages/page_019,1,30,31,0.0465
2026-06-20T04:51:05,Appendix_2/1_source_pages/page_030,1,10,11,0.0165
2026-06-20T04:51:05,Appendix_2/1_source_pages/page_029,1,10,11,0.0165
2026-06-20T04:51:06,Appendix_2/1_source_pages/page_017,1,39,40,0.0600
2026-06-20T04:51:11,Appendix_2/1_source_pages/page_024,1,22,23,0.0345
2026-06-20T04:51:12,Appendix_2/1_source_pages/page_031,1,9,10,0.0150
2026-06-20T04:51:14,Appendix_2/1_source_pages/page_032,1,9,10,0.0150
2026-06-20T04:51:16,Appendix_2/1_source_pages/page_033,1,9,10,0.0150
2026-06-20T04:51:19,Appendix_2/1_source_pages/page_035,1,8,9,0.0135
2026-06-20T04:51:20,Appendix_2/1_source_pages/page_036,1,8,9,0.0135
2026-06-20T04:51:22,Appendix_2/1_source_pages/page_037,1,9,10,0.0150
2026-06-20T04:51:23,Appendix_1/0_table_of_contents/page_003,1,94,95,0.1425
2026-06-20T04:51:26,Appendix_2/1_source_pages/page_038,1,8,9,0.0135
2026-06-20T04:51:27,Appendix_2/1_source_pages/page_039,1,8,9,0.0135
2026-06-20T04:51:28,Appendix_2/1_source_pages/page_042,1,8,9,0.0135
2026-06-20T04:51:31,Appendix_2/1_source_pages/page_034,1,14,15,0.0225
2026-06-20T04:51:32,Appendix_2/1_source_pages/page_045,1,6,7,0.0105
2026-06-20T04:51:33,Appendix_2/1_source_pages/page_040,1,10,11,0.0165
2026-06-20T04:51:33,Appendix_2/1_source_pages/page_043,1,8,9,0.0135
2026-06-20T04:51:35,Appendix_2/1_source_pages/page_044,1,8,9,0.0135
2026-06-20T04:51:36,Appendix_2/1_source_pages/page_046,1,7,8,0.0120
2026-06-20T04:51:39,Appendix_2/1_source_pages/page_041,1,11,12,0.0180
2026-06-20T04:51:43,Appendix_2/1_source_pages/page_050,1,7,8,0.0120
2026-06-20T04:51:46,Appendix_2/1_source_pages/page_051,1,7,8,0.0120
2026-06-20T04:51:47,Appendix_2/1_source_pages/page_049,1,9,10,0.0150
2026-06-20T04:51:48,Appendix_2/1_source_pages/page_047,1,10,11,0.0165
2026-06-20T04:51:49,Appendix_2/1_source_pages/page_048,1,10,11,0.0165
2026-06-20T04:51:50,Appendix_2/1_source_pages/page_052,1,8,9,0.0135
2026-06-20T04:51:51,Appendix_2/1_source_pages/page_057,1,4,5,0.0075
2026-06-20T04:51:52,Appendix_2/1_source_pages/page_056,1,4,5,0.0075
2026-06-20T04:51:54,Appendix_2/0_table_of_contents/page_003,1,72,73,0.1095
