date,arm,volume,pred,gold,gold_regions,TP,FP,FN,RQ,SQ,PQ,sTP,sFP,sFN,RQ_strict,SQ_strict,PQ_strict,notes
2026-06-05,fewshot-flash-lite-era (historical),Appendix_1,auto_labeled,reviewed,388,354,117,34,0.8242,0.9540,0.7863,312,159,76,0.7264,0.9565,0.6948,"auto_labeled vs gold; A1 labeled during iter1-6 era, mixed provenance"
2026-06-05,fewshot-flash-lite (iter7) + 3 pages 3.5-flash,Appendix_3,auto_labeled,reviewed,843,709,116,134,0.8501,0.9777,0.8312,691,134,152,0.8285,0.9780,0.8103,"auto_labeled vs gold; ~96 archv/struct gold boxes unscoreable on this machine (stale crop vintage, see RESUME_HERE)"
